Commune;Code département;Département;EPCI;Code région;Région;Compte;Date de la donnée;Code EPCI;Régime d'exploitation;Puissance de raccordement;Filière;Coordonnées géographiques;Code Insee Commune
Glomel;22;Côtes-d'Armor;CC du Kreiz-Breizh (CCKB);53;Bretagne;1;2018-12;242200715;Project;10400.0;Éolien;48.2058975829, -3.38820300244;22061
Gosné;35;Ille-et-Vilaine;CC Liffré-Cormier Communauté;53;Bretagne;1;2018-12;243500774;;;Éolien;48.2503523895, -1.45860853595;35121
Goulien;29;Finistère;CC Cap Sizun - Pointe du Raz;53;Bretagne;1;2018-12;242900629;Realised;6400.0;Éolien;48.0579729785, -4.59260441586;29063
Grand-Fougeray;35;Ille-et-Vilaine;CC Bretagne porte de Loire Communauté;53;Bretagne;2;2018-12;200070662;Realised;12400.0;Éolien;47.7344338208, -1.72820099024;35124
Gueltas;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2018-12;245614433;Realised;9000.0;Éolien;48.0920646623, -2.80987346419;56072
Guerlédan;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;1;2018-12;200067460;Realised;9200.0;Éolien;48.1957524474, -2.9837108711;22158
Guern;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2018-12;245614433;Realised;8000.0;Éolien;48.034812094, -3.10210819961;56076
Guéhenno;56;Morbihan;CC Centre Morbihan Communauté;53;Bretagne;1;2018-12;200067221;Project;12000.0;Éolien;47.8922430084, -2.65141544204;56071
Guéhenno;56;Morbihan;CC Centre Morbihan Communauté;53;Bretagne;1;2018-12;200067221;Realised;3600.0;Éolien;47.8922430084, -2.65141544204;56071
Irodouër;35;Ille-et-Vilaine;CC de Saint-Méen Montauban;53;Bretagne;1;2018-12;200038990;;;Éolien;48.246152189, -1.95021443067;35135
Kergloff;29;Finistère;CC Poher communauté;53;Bretagne;1;2018-12;242900744;Project;6900.0;Éolien;48.2804454858, -3.64568859404;29089
Kergrist;56;Morbihan;CC Pontivy Communauté;53;Bretagne;3;2018-12;245614433;Realised;19698.0;Éolien;48.1472818466, -2.92787554336;56093
La Gacilly;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;1;2018-12;200066785;Realised;11980.0;Éolien;47.7728317091, -2.15651114837;56061
Lamballe-Armor;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;2;2018-12;200069391;Realised;9200.0;Éolien;48.4684404751, -2.49534815954;22093
Lannéanou;29;Finistère;CA Morlaix Communauté;53;Bretagne;1;2018-12;242900835;Realised;4000.0;Éolien;48.4980971712, -3.66516986251;29114
Larré;56;Morbihan;CC Questembert Communauté;53;Bretagne;1;2018-12;245614383;Realised;9200.0;Éolien;47.7158136416, -2.49456221297;56108
Le Petit-Fougeray;35;Ille-et-Vilaine;CC Bretagne porte de Loire Communauté;53;Bretagne;1;2018-12;200070662;Realised;10000.0;Éolien;47.9280508952, -1.61613769556;35218
Le Rheu;35;Ille-et-Vilaine;Rennes Métropole;53;Bretagne;1;2018-12;243500139;;;Éolien;48.097397419, -1.78149989185;35240
Les Fougerêts;56;Morbihan;CA Redon Agglomération;53;Bretagne;1;2018-12;243500741;Realised;12000.0;Éolien;47.7480373026, -2.19710765653;56060
Louargat;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;1;2018-12;200067981;;;Éolien;48.5612002546, -3.34101341684;22135
Mauron;56;Morbihan;CC Ploërmel Communauté;53;Bretagne;1;2018-12;200066777;Realised;10000.0;Éolien;48.0820059121, -2.30432452661;56127
Maxent;35;Ille-et-Vilaine;CC de Brocéliande;53;Bretagne;1;2018-12;243500618;Realised;6000.0;Éolien;47.9788328525, -2.01519596065;35169
Mohon;56;Morbihan;CC Ploërmel Communauté;53;Bretagne;2;2018-12;200066777;Realised;20000.0;Éolien;48.0633640521, -2.49561629627;56134
Montreuil-des-Landes;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;1;2018-12;200039022;Realised;12000.0;Éolien;48.2507630076, -1.22879248978;35192
Moréac;56;Morbihan;CC Centre Morbihan Communauté;53;Bretagne;2;2018-12;200067221;Realised;16000.0;Éolien;47.9328057263, -2.80381737947;56140
Muzillac;56;Morbihan;CC Arc Sud Bretagne;53;Bretagne;1;2018-12;200027027;Realised;10020.0;Éolien;47.5547990071, -2.47313130571;56143
Noyal-Muzillac;56;Morbihan;CC Arc Sud Bretagne;53;Bretagne;1;2018-12;200027027;Project;12600.0;Éolien;47.5996326601, -2.45965724155;56149
Noyal-sur-Vilaine;35;Ille-et-Vilaine;CC Pays de Châteaugiron Communauté;53;Bretagne;1;2018-12;243500659;Realised;800.0;Éolien;48.0914044616, -1.50548866524;35207
Plaintel;22;Côtes-d'Armor;CA Saint-Brieuc Armor Agglomération;53;Bretagne;1;2018-12;200069409;;;Éolien;48.4105972441, -2.81039949193;22171
Pleugriffet;56;Morbihan;CC Pontivy Communauté;53;Bretagne;1;2018-12;245614433;Realised;10000.0;Éolien;47.9938347053, -2.69149691604;56160
Plogastel-Saint-Germain;29;Finistère;CC du Haut Pays Bigouden;53;Bretagne;1;2018-12;242900710;Realised;9200.0;Éolien;47.9772934585, -4.26371081296;29167
Plonéis;29;Finistère;CA Quimper Bretagne Occidentale;53;Bretagne;1;2018-12;200068120;;;Éolien;48.0113210792, -4.20934732708;29173
Ploudalmézeau;29;Finistère;CC du Pays d'Iroise;53;Bretagne;1;2018-12;242900074;Realised;9100.0;Éolien;48.5380194426, -4.66954529014;29178
Plougras;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;1;2018-12;200065928;Realised;6000.0;Éolien;48.4964328915, -3.56487485198;22217
Plouguernével;22;Côtes-d'Armor;CC du Kreiz-Breizh (CCKB);53;Bretagne;1;2018-12;242200715;Realised;4000.0;Éolien;48.2340717388, -3.24711732443;22220
Plouider;29;Finistère;CC Communauté Lesneven Côte des Légendes;53;Bretagne;1;2018-12;242900793;;;Éolien;48.602186011, -4.29367754752;29198
Plouisy;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;2;2018-12;200067981;Realised;6800.0;Éolien;48.5834889346, -3.19153287341;22223
Ploulec'h;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;1;2018-12;200065928;;;Éolien;48.7189901633, -3.50164887821;22224
Plounévez-Quintin;22;Côtes-d'Armor;CC du Kreiz-Breizh (CCKB);53;Bretagne;1;2018-12;242200715;Realised;2000.0;Éolien;48.2853424694, -3.24078209284;22229
Plouyé;29;Finistère;CC Monts d'Arrée Communauté;53;Bretagne;1;2018-12;200067197;Realised;9200.0;Éolien;48.3207546118, -3.73395205776;29211
Plélan-le-Grand;35;Ille-et-Vilaine;CC de Brocéliande;53;Bretagne;1;2018-12;243500618;Realised;12000.0;Éolien;47.9968736139, -2.07990195207;35223
Plésidy;22;Côtes-d'Armor;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;53;Bretagne;1;2018-12;200067981;Project;11000.0;Éolien;48.4414674679, -3.12592291873;22189
Retiers;35;Ille-et-Vilaine;CC Roche aux Fées Communauté;53;Bretagne;1;2018-12;243500634;Realised;11500.0;Éolien;47.9060282888, -1.34373706233;35239
Roudouallec;56;Morbihan;CC Roi Morvan Communauté;53;Bretagne;1;2018-12;245614417;Realised;5600.0;Éolien;48.1198265822, -3.69385005734;56199
Ruffiac;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;1;2018-12;200066785;Realised;8000.0;Éolien;47.8135299611, -2.28477717582;56200
