Commune;Code département;Département;EPCI;Code région;Région;Compte;Date de la donnée;Code EPCI;Régime d'exploitation;Puissance de raccordement;Filière;Coordonnées géographiques;Code Insee Commune
Saint-Rivoal;29;Finistère;CC Monts d'Arrée Communauté;53;Bretagne;2;2018-12;200067197;;;Solaire;48.349127649, -3.987639258;29261
Saint-Samson-sur-Rance;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;6;2018-12;200068989;;;Solaire;48.491439957, -2.018685251;22327
Saint-Sauveur;29;Finistère;CC du Pays de Landivisiau;53;Bretagne;11;2018-12;242900751;Realised;247.60000000000002;Solaire;48.448180321, -4.00032553;29262
Saint-Sauveur-des-Landes;35;Ille-et-Vilaine;CA Fougères Agglomération;53;Bretagne;27;2018-12;200072452;Realised;443.69999999999993;Solaire;48.346866645, -1.314241715;35310
Saint-Séglin;35;Ille-et-Vilaine;CC Vallons de Haute-Bretagne Communauté;53;Bretagne;5;2018-12;200043990;;;Solaire;47.85169401, -2.026029848;35311
Saint-Thonan;29;Finistère;CC du Pays de Landerneau-Daoulas;53;Bretagne;15;2018-12;242900801;Realised;48.37;Solaire;48.476997848, -4.322554585;29268
Saint-Tugdual;56;Morbihan;CC Roi Morvan Communauté;53;Bretagne;2;2018-12;245614417;;;Solaire;48.09611445, -3.366970383;56238
Saint-Urbain;29;Finistère;CC du Pays de Landerneau-Daoulas;53;Bretagne;14;2018-12;242900801;Realised;146.5;Solaire;48.397103093, -4.222048067;29270
Saint-Vran;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;12;2018-12;200067460;Realised;139.85;Solaire;48.243231049, -2.456944287;22333
Saint-Étienne-du-Gué-de-l'Isle;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;2;2018-12;200067460;;;Solaire;48.08559366, -2.643302284;22288
Sainte-Colombe;35;Ille-et-Vilaine;CC Roche aux Fées Communauté;53;Bretagne;7;2018-12;243500634;Realised;155.8;Solaire;47.895347661, -1.457524201;35262
Sainte-Marie;35;Ille-et-Vilaine;CA Redon Agglomération;53;Bretagne;28;2018-12;243500741;Realised;274.30000000000007;Solaire;47.693449868, -2.013564865;35294
Santec;29;Finistère;CC Haut-Léon Communauté;53;Bretagne;14;2018-12;200067072;Realised;46.1;Solaire;48.699856878, -4.031677825;29273
Sarzeau;56;Morbihan;CA Golfe du Morbihan - Vannes Agglomération;53;Bretagne;57;2018-12;200067932;Realised;507.8199999999998;Solaire;47.523805736, -2.7516343340000002;56240
Scaër;29;Finistère;CA Quimperlé Communauté;53;Bretagne;37;2018-12;242900694;Realised;293.69999999999993;Solaire;48.027760139, -3.730255853;29274
Sixt-sur-Aff;35;Ille-et-Vilaine;CA Redon Agglomération;53;Bretagne;17;2018-12;243500741;Realised;82.94999999999999;Solaire;47.774871759, -2.049645445;35328
Spézet;29;Finistère;CC de Haute-Cornouaille;53;Bretagne;5;2018-12;242900561;Realised;250.20000000000002;Solaire;48.186008739, -3.691835004;29278
Séglien;56;Morbihan;CC Pontivy Communauté;53;Bretagne;8;2018-12;245614433;Realised;83.6;Solaire;48.10241041, -3.151692657;56242
Séné;56;Morbihan;CA Golfe du Morbihan - Vannes Agglomération;53;Bretagne;41;2018-12;200067932;Realised;207.04999999999998;Solaire;47.623760257, -2.730700699;56243
Sérent;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;31;2018-12;200066785;Realised;404.97;Solaire;47.824841911, -2.497406229;56244
Sévignac;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;16;2018-12;200069391;Realised;52.800000000000004;Solaire;48.332200873, -2.319785154;22337
Taden;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;13;2018-12;200068989;Realised;80.39999999999999;Solaire;48.487855766, -2.054179851;22339
Talensac;35;Ille-et-Vilaine;CC Montfort Communauté;53;Bretagne;1;2018-12;243500550;Project;90.0;Solaire;48.091112904, -1.926215966;35331
Taulé;29;Finistère;CA Morlaix Communauté;53;Bretagne;1;2018-12;242900835;Project;90.0;Solaire;48.604363995, -3.89892103;29279
Théhillac;56;Morbihan;CA Redon Agglomération;53;Bretagne;9;2018-12;243500741;;;Solaire;47.551940072, -2.118408154;56250
Torcé;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;14;2018-12;200039022;Realised;98.1;Solaire;48.061268934, -1.2706763269999999;35338
Treffléan;56;Morbihan;CA Golfe du Morbihan - Vannes Agglomération;53;Bretagne;12;2018-12;200067932;Realised;274.0;Solaire;47.678190895, -2.622097845;56255
Treffrin;22;Côtes-d'Armor;CC Poher communauté;53;Bretagne;5;2018-12;242900744;;;Solaire;48.298445873, -3.526764901;22351
Tresbœuf;35;Ille-et-Vilaine;CC Bretagne porte de Loire Communauté;53;Bretagne;1;2018-12;200070662;Project;90.0;Solaire;47.880497711, -1.553522797;35343
Tresbœuf;35;Ille-et-Vilaine;CC Bretagne porte de Loire Communauté;53;Bretagne;16;2018-12;200070662;Realised;133.79999999999998;Solaire;47.880497711, -1.553522797;35343
Trimer;35;Ille-et-Vilaine;CC Bretagne Romantique;53;Bretagne;1;2018-12;243500733;;;Solaire;48.344683851, -1.897195836;35346
Tréal;56;Morbihan;CC de l'Oust à Brocéliande;53;Bretagne;9;2018-12;200066785;Realised;109.9;Solaire;47.832807774, -2.229134418;56253
Trébeurden;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;11;2018-12;200065928;Realised;41.6;Solaire;48.77081072, -3.558239593;22343
Trébédan;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;2;2018-12;200068989;;;Solaire;48.405938941, -2.162858479;22342
Trédarzec;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;5;2018-12;200065928;Realised;133.2;Solaire;48.790785857, -3.201603666;22347
Trédion;56;Morbihan;CA Golfe du Morbihan - Vannes Agglomération;53;Bretagne;1;2018-12;200067932;Project;90.0;Solaire;47.782951503, -2.584042857;56254
Tréduder;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;4;2018-12;200065928;;;Solaire;48.654674095, -3.56651484;22350
Tréflaouénan;29;Finistère;CC Haut-Léon Communauté;53;Bretagne;7;2018-12;200067072;Realised;156.55;Solaire;48.626848211, -4.098878677;29285
Tréfumel;22;Côtes-d'Armor;CA Dinan Agglomération;53;Bretagne;1;2018-12;200068989;Realised;66.0;Solaire;48.33724484, -2.023911399;22352
Trégastel;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;10;2018-12;200065928;Realised;31.979999999999997;Solaire;48.817089451, -3.507270289;22353
Trégrom;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;1;2018-12;200065928;Realised;90.0;Solaire;48.594792763, -3.402551016;22359
Tréguier;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;2;2018-12;200065928;;;Solaire;48.784342126, -3.232249906;22362
Trégunc;29;Finistère;CA Concarneau Cornouaille Agglomération;53;Bretagne;1;2018-12;242900769;Project;99.6;Solaire;47.838019009, -3.841088544;29293
Trémargat;22;Côtes-d'Armor;CC du Kreiz-Breizh (CCKB);53;Bretagne;2;2018-12;242200715;;;Solaire;48.330139044, -3.267130688;22365
Trémel;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;1;2018-12;200065928;;;Solaire;48.604843651, -3.617864247;22366
Tréméreuc;22;Côtes-d'Armor;CC Côte d'Émeraude;53;Bretagne;6;2018-12;243500725;;;Solaire;48.560308582, -2.063722127;22368
